SYMBOL,TICKER,COMPANY NAME,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,VOLUME AVG,52WHIGH,52W-LOW,MARKET CAP(CR),3D CHART
20MICRONS,NSE:20MICRONS,20 Microns Limited,193.45,196.4,198.01,193.25,195.62,-2.17,-1.11,71064,283.93,158.2,643.224186,
21STCENMGM,NSE:21STCENMGM,21st Century Management Services Limited,37.5,36.03,37.5,36.03,36.77,0.73,1.99,7364,101.71,36.03,40.79415,
360ONE,NSE:360ONE,360 ONE WAM LIMITED,1165,1150,1173.9,1141,1150,15,1.3,792622,1318,790.5,46102.5683,
3IINFOLTD,NSE:3IINFOLTD,3i Infotech Limited,16.95,17.05,17.2,16.93,17,-0.05,-0.29,882200,33.04,16.69,349.6576672,
3MINDIA,NSE:3MINDIA,3M India Limited,35055,35815,35815,34955,35520,-465,-1.31,15542,37000,25718.15,39090.60171,
3PLAND,NSE:3PLAND,3P Land Holdings Limited,40.09,39.51,40.44,38,39.49,0.6,1.52,11115,82.06,34.05,71.7291072,
5PAISA,NSE:5PAISA,5Paisa Capital Limited,340,343.85,348.95,337.2,343.85,-3.85,-1.12,388957,519,287.65,1024.512388,
63MOONS,NSE:63MOONS,63 moons technologies limited,784,759,799.95,759,759.25,24.75,3.26,99771,1130,578.7,3373.653136,
A2ZINFRA,NSE:A2ZINFRA,A2Z Infra Engineering Limited,15.45,15.5,16.15,15.11,15.71,-0.26,-1.65,301736,26.8,12.35,269.2686518,
AAATECH,NSE:AAATECH,AAA Technologies Limited,90.3,88.75,90.53,87.96,89.52,0.78,0.87,158804,136,66,112.73985,
AADHARHFC,NSE:AADHARHFC,Aadhar Housing Finance Limited,482.6,490,490,482,486.85,-4.25,-0.87,301055,547.8,346.05,20740.37712,
AAKASH,NSE:AAKASH,Aakash Exploration Services Limited,8.81,8.65,8.99,8.65,8.77,0.04,0.46,70488,13.79,7.06,88.8255958,
AAREYDRUGS,NSE:AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,88.4,89,89,85.1,88.7,-0.3,-0.34,45556,100,31.35,251.2965081,
AARON,NSE:AARON,Aaron Industries Limited,186,186.8,190.8,185.14,184.07,1.93,1.05,32173,258,152.48,396.99561,
AARTECH,NSE:AARTECH,Aartech Solonics Limited,49,48.76,49.47,48.06,48.76,0.24,0.49,74332,105.39,48.01,158.177145,
AARTIDRUGS,NSE:AARTIDRUGS,Aarti Drugs Limited,429.45,443,443.3,427.8,442.3,-12.85,-2.91,236879,564.05,312,3792.864716,
AARTIIND,NSE:AARTIIND,Aarti Industries Limited,380.8,379.2,382.8,377.4,377.95,2.85,0.75,1099846,495,344.2,13837.33098,
AARTIPHARM,NSE:AARTIPHARM,Aarti Pharmalabs Limited,703,716.15,717.45,698.5,710.45,-7.45,-1.05,220924,971,557.05,6073.91297,
AARTISURF,NSE:AARTISURF,Aarti Surfactants Limited,429.5,428.2,430,426,428.2,1.3,0.3,7259,679.7,396,389.352487,
AARVEEDEN,NSE:AARVEEDEN,Aarvee Denims & Exports Limited,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AARVI,NSE:AARVI,Aarvi Encon Limited,129.9,132.85,133.48,129,131.54,-1.64,-1.25,60319,155,88,199.5675689,
AAVAS,NSE:AAVAS,Aavas Financiers Limited,1583,1595,1604.5,1573,1593.6,-10.6,-0.67,180567,2234,1516.9,12541.8942,
ABAN,NSE:ABAN,Aban Offshore Limited,34.84,34.84,35.45,34.1,34.77,0.07,0.2,41608,72.7,34.1,202.0756062,
ABB,NSE:ABB,ABB India Limited,5260,5235,5264.5,5188.5,5197.5,62.5,1.2,230981,7960,4684.45,107871.028,
ABBOTINDIA,NSE:ABBOTINDIA,Abbott India Limited,29435,30300,30300,29390,30025,-590,-1.97,7439,37000,25325,61487.74286,
ABCAPITAL,NSE:ABCAPITAL,Aditya Birla Capital Limited,352.8,350,353.4,349.4,349.8,3,0.86,4964225,353.4,149.01,91706.16894,
ABDL,NSE:ABDL,Allied Blenders and Distillers Limited,654.5,654.85,670,646.2,652.15,2.35,0.36,709877,696.8,279,18184.03895,
ABFRL,NSE:ABFRL,Aditya Birla Fashion and Retail Limited,77.05,77,77.47,76.81,76.94,0.11,0.14,3422870,108.65,70.55,9165.737378,
ABINFRA,NSE:ABINFRA,A B Infrabuild Limited,18.99,18.6,19.1,18.41,18.57,0.42,2.26,778743,22.5,6.17,1195.170309,
ABLBL,NSE:ABLBL,Aditya Birla Lifestyle Brands Limited,131.74,132.24,133.85,131.05,132.65,-0.91,-0.69,1368227,175,124.5,15264.89887,
ABMINTLLTD,NSE:ABMINTLLTD,ABM International Limited,45.5,46,46,45.4,47.79,-2.29,-4.79,546,78.21,37.01,42.6666786,
ABREL,NSE:ABREL,Aditya Birla Real Estate Limited,1745,1766,1787,1740,1773.3,-28.3,-1.6,184060,2980,1562.6,18569.08595,
ABSLAMC,NSE:ABSLAMC,Aditya Birla Sun Life AMC Limited,730,737,741,726.05,730.85,-0.85,-0.12,206077,911.85,556.45,21097.0127,
ACC,NSE:ACC,ACC Limited,1866.3,1888,1888,1864,1884.5,-18.2,-0.97,354142,2314.9,1778.45,35399.53141,
ACCELYA,NSE:ACCELYA,Accelya Solutions India Limited,1297.6,1284.8,1300,1284.8,1283.8,13.8,1.07,24905,1619,1218.5,1924.077351,
ACCURACY,NSE:ACCURACY,Accuracy Shipping Limited,6.09,6.11,6.19,6,6.09,0,0,114221,12.5,5.1,90.1525864,
ACE,NSE:ACE,Action Construction Equipment Limited,985,977,986,971.4,974.3,10.7,1.1,140290,1600,917.45,11735.6249,
ACEINTEG,NSE:ACEINTEG,Ace Integrated Solutions Limited,22.75,22.98,22.98,22.06,22.14,0.61,2.76,5997,34.88,20,23.4458315,
ACI,NSE:ACI,Archean Chemical Industries Limited,524,519.95,528.6,519.95,517.75,6.25,1.21,124776,730,408.35,6669.52964,
ACL,NSE:ACL,Andhra Cements Limited,72.55,74.41,74.5,72.2,72.6,-0.05,-0.07,13685,109.99,48.15,655.1482925,
ACLGATI,NSE:ACLGATI,Allcargo Gati Limited,66.5,66.31,66.89,64.95,65.35,1.15,1.76,465678,99.65,52.01,972.6282429,
ACMESOLAR,NSE:ACMESOLAR,Acme Solar Holdings Limited,232.9,234.05,235.2,229.1,233.7,-0.8,-0.34,944643,324.3,167.75,14032.21867,
ACUTAAS,NSE:ACUTAAS,Acutaas Chemicals Limited,1785.2,1796,1798.1,1763,1794.8,-9.6,-0.53,446508,1902,1059,15164.43097,
ADANIENSOL,NSE:ADANIENSOL,Adani Energy Solutions Limited,982.25,992.6,994.15,974,991.2,-8.95,-0.9,1473525,1050,588,118065.9674,
ADANIENT,NSE:ADANIENT,Adani Enterprises Limited,2249,2310,2320.5,2243,2315,-66,-2.85,1396629,2612.76,1964.71,259709.9955,
ADANIGREEN,NSE:ADANIGREEN,Adani Green Energy Limited,1033,1040.1,1042,1018.2,1034.4,-1.4,-0.14,3631511,1447.7,758,167329.9049,
ADANIPORTS,NSE:ADANIPORTS,Adani Ports and Special Economic Zone Limited,1505.6,1511.8,1513.9,1501,1506.2,-0.6,-0.04,2207935,1523.6,1010.75,325680.0305,
ADANIPOWER,NSE:ADANIPOWER,Adani Power Limited,147.97,149.15,150.64,147.4,148.62,-0.65,-0.44,38377186,182.7,86.43,57179.12068,
ADFFOODS,NSE:ADFFOODS,ADF Foods Limited,209.5,210.01,214.47,207.92,210.55,-1.05,-0.5,121757,353.95,198.12,2231.27556,
ADL,NSE:ADL,Archidply Decor Limited,77.69,77.9,77.9,74,75.9,1.79,2.36,3349,121.77,62,41.3578897,
ADOR,NSE:ADOR,Ador Welding Limited,1096,1092.5,1100,1083.1,1093.6,2.4,0.22,34733,1260,824,1865.281806,
ADROITINFO,NSE:ADROITINFO,Adroit Infotech Limited,10.07,10.4,10.76,9.92,10.18,-0.11,-1.08,33780,23.28,9.56,78.4894646,
ADSL,NSE:ADSL,Allied Digital Services Limited,161.73,162.7,164.9,161.3,161.73,0,0,157947,288,147.61,903.7011757,
ADVANIHOTR,NSE:ADVANIHOTR,Advani Hotels & Resorts (India) Limited,54.15,54.15,54.76,54.15,54.11,0.04,0.07,34097,74.4,52.29,506.8040515,
